transaction_id,transaction_date,posting_date,vendor_id,vendor_name,account_code,account_name,debit_amount,department,description,created_by,approved_by,audit_risk_score,risk_level,rule_alert_count,anomaly_score,ml_anomaly_flag,risk_reason_text
TXN00001300,2024-07-16,2024-07-16,V00304,"Zenith Services Co., Ltd.",2202,应付账款 Accounts payable,1250000.0,Finance,"Bank transfer to Zenith Services Co., Ltd. - invoice INV-534327",E0099,E0009,73.34,High,3,0.724984,True,"Duplicate payment: invoice INV-2024-74366 paid more than once to Zenith Services Co., Ltd.; Unusual vendor (Zenith Services Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.725, rank 247 of 30,128); Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger"
TXN00022965,2025-09-29,2025-09-29,V00331,"Silverline Packaging Co., Ltd.",2202,应付账款 Accounts payable,1250000.0,Finance,"Vendor settlement Silverline Packaging Co., Ltd. / INV-391350",E0107,E0002,73.24,High,2,0.868375,True,"Unusual vendor (Silverline Packaging Co., Ltd.): vendor registered less than 90 days before the payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.868, rank 24 of 30,128); Vendor risk 46/100 for Silverline Packaging Co., Ltd.; Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger"
TXN00019362,2025-06-20,2025-06-20,V00064,"Tianhe Consulting (Shenzhen) Co., Ltd.",2202,应付账款 Accounts payable,2000000.0,Finance,"Payment to Tianhe Consulting (Shenzhen) Co., Ltd. for invoice INV-630772",E0006,E0008,73.15,High,2,0.857574,True,"Unusual vendor (Tianhe Consulting (Shenzhen) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 2000000.0 sits in the top 0.5% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.858, rank 31 of 30,128); Vendor risk 56/100 for Tianhe Consulting (Shenzhen) Co., Ltd.; Amount CNY 2,000,000.00 is above the 99.5th percentile of the ledger"
TXN00022937,2024-01-29,2024-02-01,V00320,"Yongsheng Automation (Beijing) Co., Ltd.",2202,应付账款 Accounts payable,2000000.0,Finance,"Payment to Yongsheng Automation (Beijing) Co., Ltd. for invoice INV-443250",E0108,E0109,73.15,High,2,0.875421,True,"Unusual vendor (Yongsheng Automation (Beijing) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 2000000.0 sits in the top 0.5% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.875, rank 23 of 30,128); Vendor risk 53/100 for Yongsheng Automation (Beijing) Co., Ltd.; Amount CNY 2,000,000.00 is above the 99.5th percentile of the ledger"
TXN00006066,2024-07-09,2024-07-11,V00112,"Pacific Materials (Guangzhou) Co., Ltd.",660205,管理费用-咨询费 Consulting fees,2000000.0,Operations,"Consulting services from Pacific Materials (Guangzhou) Co., Ltd. - contract 54506",E0011,E0042,72.67,High,2,0.935508,True,"Unusual vendor (Pacific Materials (Guangzhou) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 2000000.0 sits in the top 0.5% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.936, rank 5 of 30,128); Amount CNY 2,000,000.00 is above the 99.5th percentile of the ledger"
TXN00004076,2025-03-30,2025-03-31,V00115,"Xinrun Materials (Shenzhen) Co., Ltd.",1403,原材料 Raw materials,2000000.0,Procurement,Bulk purchase of components - PO98997,E0060,E0092,72.41,High,3,0.894083,True,"Unusual vendor (Xinrun Materials (Shenzhen) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 2000000.0 sits in the top 0.5% of all voucher values and is an exact multiple of 10,000; Posted on Sunday - 2025-03-30 is outside the normal working week; Isolation Forest anomaly (score 0.894, rank 15 of 30,128); Amount CNY 2,000,000.00 is above the 99.5th percentile of the ledger"
TXN00017219,2025-04-18,2025-04-18,V00127,Yongsheng Supply Chain Holdings,2202,应付账款 Accounts payable,2000000.0,Finance,Payment to Yongsheng Supply Chain Holdings for invoice INV-463649,E0085,E0071,72.37,High,2,0.841077,True,"Unusual vendor (Yongsheng Supply Chain Holdings): amount is more than 8x this vendor's average payment; Large round amount: CNY 2000000.0 sits in the top 0.5% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.841, rank 41 of 30,128); Vendor risk 54/100 for Yongsheng Supply Chain Holdings; Amount CNY 2,000,000.00 is above the 99.5th percentile of the ledger"
TXN00017089,2025-04-15,2025-04-16,V00213,"Blue Ridge Consulting (Shanghai) Co., Ltd.",2202,应付账款 Accounts payable,1250000.0,Finance,"Vendor settlement Blue Ridge Consulting (Shanghai) Co., Ltd. / INV-113861",E0120,E0008,71.91,High,2,0.893341,True,"Unusual vendor (Blue Ridge Consulting (Shanghai) Co., Ltd.): vendor registered less than 90 days before the payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.893, rank 17 of 30,128); Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger"
TXN00006356,2024-02-01,2024-02-03,V00014,"Orient Engineering (Shanghai) Co., Ltd.",2202,应付账款 Accounts payable,2000000.0,Finance,"Payment to Orient Engineering (Shanghai) Co., Ltd. for invoice INV-770612",E0056,E0121,71.88,High,2,0.888793,True,"Unusual vendor (Orient Engineering (Shanghai) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 2000000.0 sits in the top 0.5% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.889, rank 19 of 30,128); Amount CNY 2,000,000.00 is above the 99.5th percentile of the ledger"
TXN00009235,2025-06-17,2025-06-18,V00299,"Mingda Packaging (Shenzhen) Co., Ltd.",2202,应付账款 Accounts payable,1250000.0,Finance,"Settlement of Mingda Packaging (Shenzhen) Co., Ltd. invoice INV-364728",E0120,E0102,71.56,High,2,0.757552,True,"Unusual vendor (Mingda Packaging (Shenzhen) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.758, rank 161 of 30,128); Vendor risk 58/100 for Mingda Packaging (Shenzhen) Co., Ltd.; Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger"
TXN00024485,2024-12-30,2024-12-30,V00345,"Orient Supply Chain (Guangzhou) Co., Ltd.",2202,应付账款 Accounts payable,2000000.0,Finance,"Payment to Orient Supply Chain (Guangzhou) Co., Ltd. for invoice INV-151569",E0087,E0134,71.41,High,2,0.932631,True,"Unusual vendor (Orient Supply Chain (Guangzhou) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 2000000.0 sits in the top 0.5% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.933, rank 6 of 30,128); Amount CNY 2,000,000.00 is above the 99.5th percentile of the ledger"
TXN00006613,2024-10-21,2024-10-21,V00112,"Pacific Materials (Guangzhou) Co., Ltd.",2202,应付账款 Accounts payable,1250000.0,Finance,"Bank transfer to Pacific Materials (Guangzhou) Co., Ltd. - invoice INV-323756",E0123,E0076,71.05,High,2,0.922951,True,"Unusual vendor (Pacific Materials (Guangzhou) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.923, rank 10 of 30,128); Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger"
TXN00015009,2024-10-16,2024-10-16,V00041,"Ruixin Industrial (Beijing) Co., Ltd.",660205,管理费用-咨询费 Consulting fees,2000000.0,Operations,"Advisory fee to Ruixin Industrial (Beijing) Co., Ltd.",E0133,E0124,70.66,High,2,0.89405,True,"Unusual vendor (Ruixin Industrial (Beijing) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 2000000.0 sits in the top 0.5% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.894, rank 16 of 30,128); Amount CNY 2,000,000.00 is above the 99.5th percentile of the ledger"
TXN00013011,2024-09-09,2024-09-09,V00207,"Nordic Electronics Co., Ltd.",2202,应付账款 Accounts payable,1250000.0,Finance,"Vendor settlement Nordic Electronics Co., Ltd. / INV-534787",E0085,E0068,70.63,High,2,0.788952,True,"Unusual vendor (Nordic Electronics Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.789, rank 94 of 30,128); Vendor risk 47/100 for Nordic Electronics Co., Ltd.; Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger"
TXN00015397,2024-04-15,2024-04-15,V00141,Everest Materials Holdings,2202,应付账款 Accounts payable,1250000.0,Finance,Bank transfer to Everest Materials Holdings - invoice INV-956843,E0051,E0102,70.58,High,2,0.710849,True,"Unusual vendor (Everest Materials Holdings): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.711, rank 301 of 30,128); Vendor risk 60/100 for Everest Materials Holdings; Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger"
TXN00028111,2025-01-13,2025-01-14,V00206,"Apex Automation (Guangzhou) Co., Ltd.",2202,应付账款 Accounts payable,1250000.0,Finance,"Vendor settlement Apex Automation (Guangzhou) Co., Ltd. / INV-319718",E0140,E0109,70.58,High,2,0.796702,True,"Unusual vendor (Apex Automation (Guangzhou) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.797, rank 85 of 30,128); Vendor risk 45/100 for Apex Automation (Guangzhou) Co., Ltd.; Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger"
TXN00025642,2024-06-03,2024-06-03,V00144,"Silverline Media Co., Ltd.",2202,应付账款 Accounts payable,2000000.0,Finance,"Bank transfer to Silverline Media Co., Ltd. - invoice INV-793933",E0090,E0009,70.51,High,2,0.93764,True,"Unusual vendor (Silverline Media Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 2000000.0 sits in the top 0.5% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.938, rank 4 of 30,128); Amount CNY 2,000,000.00 is above the 99.5th percentile of the ledger"
TXN00006457,2025-12-05,2025-12-05,V00129,"Everest Services (Shenzhen) Co., Ltd.",2202,应付账款 Accounts payable,1250000.0,Finance,"Payment to Everest Services (Shenzhen) Co., Ltd. for invoice INV-386235",E0067,E0025,70.39,High,2,0.898393,True,"Unusual vendor (Everest Services (Shenzhen) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.898, rank 14 of 30,128); Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger"
TXN00007791,2024-02-05,2024-02-05,V00353,"Concord Services (Shanghai) Co., Ltd.",2202,应付账款 Accounts payable,1250000.0,Finance,"Vendor settlement Concord Services (Shanghai) Co., Ltd. / INV-853719",E0024,E0128,70.3,High,2,0.767367,True,"Unusual vendor (Concord Services (Shanghai) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.767, rank 137 of 30,128); Vendor risk 48/100 for Concord Services (Shanghai) Co., Ltd.; Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger"
TXN00011457,2025-09-17,2025-09-18,V00097,"Everest Logistics Co., Ltd.",2202,应付账款 Accounts payable,1250000.0,Finance,"Bank transfer to Everest Logistics Co., Ltd. - invoice INV-429918",E0139,E0050,70.28,High,2,0.740447,True,"Unusual vendor (Everest Logistics Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.740, rank 203 of 30,128); Vendor risk 53/100 for Everest Logistics Co., Ltd.; Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger"
TXN00020863,2024-09-27,2024-09-27,V00348,"Global Trading (Shanghai) Co., Ltd.",2202,应付账款 Accounts payable,2000000.0,Finance,"Bank transfer to Global Trading (Shanghai) Co., Ltd. - invoice INV-658906",E0100,E0102,70.07,High,2,0.84178,True,"Unusual vendor (Global Trading (Shanghai) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 2000000.0 sits in the top 0.5% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.842, rank 40 of 30,128); Amount CNY 2,000,000.00 is above the 99.5th percentile of the ledger"
TXN00029876,2025-09-18,2025-09-18,V00299,"Mingda Packaging (Shenzhen) Co., Ltd.",660205,管理费用-咨询费 Consulting fees,1000000.0,Operations,"Consulting services from Mingda Packaging (Shenzhen) Co., Ltd. - contract 33716",E0011,E0109,70.05,High,2,0.777608,True,"Unusual vendor (Mingda Packaging (Shenzhen) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1000000.0 sits in the top 2.5% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.778, rank 116 of 30,128); Vendor risk 58/100 for Mingda Packaging (Shenzhen) Co., Ltd.; Amount CNY 1,000,000.00 is above the 97.5th percentile of the ledger"
TXN00003048,2024-12-19,2024-12-19,V00149,"Tianhe Technology (Guangzhou) Co., Ltd.",2202,应付账款 Accounts payable,1250000.0,Finance,"Payment to Tianhe Technology (Guangzhou) Co., Ltd. for invoice INV-937283",E0057,E0095,69.96,High,2,0.84009,True,"Unusual vendor (Tianhe Technology (Guangzhou) Co., Ltd.): vendor registered less than 90 days before the payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.840, rank 47 of 30,128); Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger"
TXN00012478,2025-03-24,2025-03-25,V00350,"Ruixin Systems (Guangzhou) Co., Ltd.",2202,应付账款 Accounts payable,1250000.0,Finance,"Payment to Ruixin Systems (Guangzhou) Co., Ltd. for invoice INV-859457",E0067,E0121,69.94,High,2,0.86471,True,"Unusual vendor (Ruixin Systems (Guangzhou) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.865, rank 27 of 30,128); Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger"
TXN00027041,2024-01-09,2024-01-10,V00291,"Dynamic Facilities (Beijing) Co., Ltd.",2202,应付账款 Accounts payable,1250000.0,Finance,"Vendor settlement Dynamic Facilities (Beijing) Co., Ltd. / INV-161090",E0123,E0071,69.92,High,2,0.719763,True,"Unusual vendor (Dynamic Facilities (Beijing) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.720, rank 266 of 30,128); Vendor risk 54/100 for Dynamic Facilities (Beijing) Co., Ltd.; Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger"
TXN00009504,2024-03-15,2024-03-15,V00126,"Apex Consulting (Shanghai) Co., Ltd.",2202,应付账款 Accounts payable,2000000.0,Finance,"Settlement of Apex Consulting (Shanghai) Co., Ltd. invoice INV-974745",E0088,E0102,69.85,High,2,0.786494,True,"Unusual vendor (Apex Consulting (Shanghai) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 2000000.0 sits in the top 0.5% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.786, rank 99 of 30,128); Vendor risk 46/100 for Apex Consulting (Shanghai) Co., Ltd.; Amount CNY 2,000,000.00 is above the 99.5th percentile of the ledger"
TXN00010974,2024-05-20,2024-05-20,V00055,"Xinrun Services (Beijing) Co., Ltd.",2202,应付账款 Accounts payable,1250000.0,Finance,"Payment to Xinrun Services (Beijing) Co., Ltd. for invoice INV-849754",E0012,E0130,69.82,High,2,0.789405,True,"Unusual vendor (Xinrun Services (Beijing) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.789, rank 93 of 30,128); Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger"
TXN00018944,2024-02-19,2024-02-19,V00341,"Hengtai Industrial (Shenzhen) Co., Ltd.",2202,应付账款 Accounts payable,2000000.0,Finance,"Vendor settlement Hengtai Industrial (Shenzhen) Co., Ltd. / INV-689978",E0137,E0008,69.81,High,2,0.916376,True,"Unusual vendor (Hengtai Industrial (Shenzhen) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 2000000.0 sits in the top 0.5% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.916, rank 13 of 30,128); Amount CNY 2,000,000.00 is above the 99.5th percentile of the ledger"
TXN00019593,2025-01-07,2025-01-07,V00363,"Blue Ridge Systems (Beijing) Co., Ltd.",2202,应付账款 Accounts payable,1250000.0,Finance,"Settlement of Blue Ridge Systems (Beijing) Co., Ltd. invoice INV-465194",E0046,E0102,69.78,High,2,0.751456,True,"Unusual vendor (Blue Ridge Systems (Beijing) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.751, rank 175 of 30,128); Vendor risk 47/100 for Blue Ridge Systems (Beijing) Co., Ltd.; Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger"
TXN00026808,2024-10-14,2024-10-17,V00103,"Kaiyuan Electronics (Beijing) Co., Ltd.",1403,原材料 Raw materials,2000000.0,Procurement,"Material procurement from Kaiyuan Electronics (Beijing) Co., Ltd. - PO41165",E0123,E0092,69.77,High,2,0.888111,True,"Unusual vendor (Kaiyuan Electronics (Beijing) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 2000000.0 sits in the top 0.5% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.888, rank 20 of 30,128); Amount CNY 2,000,000.00 is above the 99.5th percentile of the ledger"
TXN00002280,2025-11-10,2025-11-10,V00154,"Innovate Materials Co., Ltd.",2202,应付账款 Accounts payable,1250000.0,Finance,"Vendor settlement Innovate Materials Co., Ltd. / INV-124154",E0020,E0128,69.69,High,2,0.772392,True,"Unusual vendor (Innovate Materials Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.772, rank 124 of 30,128); Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger"
TXN00024088,2024-05-31,2024-05-31,V00206,"Apex Automation (Guangzhou) Co., Ltd.",2202,应付账款 Accounts payable,1250000.0,Finance,"Bank transfer to Apex Automation (Guangzhou) Co., Ltd. - invoice INV-247209",E0131,E0106,69.62,High,2,0.758338,True,"Unusual vendor (Apex Automation (Guangzhou) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.758, rank 158 of 30,128); Vendor risk 45/100 for Apex Automation (Guangzhou) Co., Ltd.; Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger"
TXN00026026,2025-12-08,2025-12-11,V00067,"Kaiyuan Trading (Shanghai) Co., Ltd.",2202,应付账款 Accounts payable,1250000.0,Finance,"Vendor settlement Kaiyuan Trading (Shanghai) Co., Ltd. / INV-586493",E0090,E0023,69.52,High,2,0.85975,True,"Unusual vendor (Kaiyuan Trading (Shanghai) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.860, rank 30 of 30,128); Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger"
TXN00013617,2024-03-14,2024-03-14,V00173,Zhongtai Services Holdings,2202,应付账款 Accounts payable,2000000.0,Finance,Settlement of Zhongtai Services Holdings invoice INV-217931,E0123,E0128,69.51,High,2,0.880725,True,"Unusual vendor (Zhongtai Services Holdings): amount is more than 8x this vendor's average payment; Large round amount: CNY 2000000.0 sits in the top 0.5% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.881, rank 21 of 30,128); Amount CNY 2,000,000.00 is above the 99.5th percentile of the ledger"
