review_order,transaction_id,selection_route,selection_reason,random_inclusion_probability,random_sampling_weight,transaction_date,vendor_id,debit_amount,audit_risk_score,risk_level,rule_keys,risk_reason_text,review_outcome,evidence_reference,reviewer_notes
11,TXN00012581,risk_priority,Risk score 74.25/100,,,2024-08-05,V00232,2000000,74.25,High,large_round_amount; unusual_vendor,"Unusual vendor (Zenith Facilities Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 2000000.0 sits in the top 0.5% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.917, rank 12 of 30,128); Amount CNY 2,000,000.00 is above the 99.5th percentile of the ledger",,,
12,TXN00020265,risk_priority,Risk score 73.85/100,,,2024-01-14,V00129,1250000,73.85,High,large_round_amount; unusual_vendor; weekend_posting,"Unusual vendor (Everest Services (Shenzhen) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Posted on Sunday - 2024-01-14 is outside the normal working week; Isolation Forest anomaly (score 0.889, rank 18 of 30,128); Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger",,,
13,TXN00001300,risk_priority,Risk score 73.34/100,,,2024-07-16,V00304,1250000,73.34,High,duplicate_payment; large_round_amount; unusual_vendor,"Duplicate payment: invoice INV-2024-74366 paid more than once to Zenith Services Co., Ltd.; Unusual vendor (Zenith Services Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.725, rank 247 of 30,128); Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger",,,
14,TXN00022965,risk_priority,Risk score 73.24/100,,,2025-09-29,V00331,1250000,73.24,High,large_round_amount; unusual_vendor,"Unusual vendor (Silverline Packaging Co., Ltd.): vendor registered less than 90 days before the payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.868, rank 24 of 30,128); Vendor risk 46/100 for Silverline Packaging Co., Ltd.; Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger",,,
15,TXN00019362,risk_priority,Risk score 73.15/100,,,2025-06-20,V00064,2000000,73.15,High,large_round_amount; unusual_vendor,"Unusual vendor (Tianhe Consulting (Shenzhen) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 2000000.0 sits in the top 0.5% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.858, rank 31 of 30,128); Vendor risk 56/100 for Tianhe Consulting (Shenzhen) Co., Ltd.; Amount CNY 2,000,000.00 is above the 99.5th percentile of the ledger",,,
16,TXN00022937,risk_priority,Risk score 73.15/100,,,2024-01-29,V00320,2000000,73.15,High,large_round_amount; unusual_vendor,"Unusual vendor (Yongsheng Automation (Beijing) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 2000000.0 sits in the top 0.5% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.875, rank 23 of 30,128); Vendor risk 53/100 for Yongsheng Automation (Beijing) Co., Ltd.; Amount CNY 2,000,000.00 is above the 99.5th percentile of the ledger",,,
17,TXN00006066,risk_priority,Risk score 72.67/100,,,2024-07-09,V00112,2000000,72.67,High,large_round_amount; unusual_vendor,"Unusual vendor (Pacific Materials (Guangzhou) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 2000000.0 sits in the top 0.5% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.936, rank 5 of 30,128); Amount CNY 2,000,000.00 is above the 99.5th percentile of the ledger",,,
18,TXN00004076,risk_priority,Risk score 72.41/100,,,2025-03-30,V00115,2000000,72.41,High,large_round_amount; unusual_vendor; weekend_posting,"Unusual vendor (Xinrun Materials (Shenzhen) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 2000000.0 sits in the top 0.5% of all voucher values and is an exact multiple of 10,000; Posted on Sunday - 2025-03-30 is outside the normal working week; Isolation Forest anomaly (score 0.894, rank 15 of 30,128); Amount CNY 2,000,000.00 is above the 99.5th percentile of the ledger",,,
19,TXN00017219,risk_priority,Risk score 72.37/100,,,2025-04-18,V00127,2000000,72.37,High,large_round_amount; unusual_vendor,"Unusual vendor (Yongsheng Supply Chain Holdings): amount is more than 8x this vendor's average payment; Large round amount: CNY 2000000.0 sits in the top 0.5% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.841, rank 41 of 30,128); Vendor risk 54/100 for Yongsheng Supply Chain Holdings; Amount CNY 2,000,000.00 is above the 99.5th percentile of the ledger",,,
20,TXN00017089,risk_priority,Risk score 71.91/100,,,2025-04-15,V00213,1250000,71.91,High,large_round_amount; unusual_vendor,"Unusual vendor (Blue Ridge Consulting (Shanghai) Co., Ltd.): vendor registered less than 90 days before the payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.893, rank 17 of 30,128); Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger",,,
21,TXN00006356,risk_priority,Risk score 71.88/100,,,2024-02-01,V00014,2000000,71.88,High,large_round_amount; unusual_vendor,"Unusual vendor (Orient Engineering (Shanghai) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 2000000.0 sits in the top 0.5% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.889, rank 19 of 30,128); Amount CNY 2,000,000.00 is above the 99.5th percentile of the ledger",,,
22,TXN00009235,risk_priority,Risk score 71.56/100,,,2025-06-17,V00299,1250000,71.56,High,large_round_amount; unusual_vendor,"Unusual vendor (Mingda Packaging (Shenzhen) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.758, rank 161 of 30,128); Vendor risk 58/100 for Mingda Packaging (Shenzhen) Co., Ltd.; Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger",,,
23,TXN00024485,risk_priority,Risk score 71.41/100,,,2024-12-30,V00345,2000000,71.41,High,large_round_amount; unusual_vendor,"Unusual vendor (Orient Supply Chain (Guangzhou) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 2000000.0 sits in the top 0.5% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.933, rank 6 of 30,128); Amount CNY 2,000,000.00 is above the 99.5th percentile of the ledger",,,
24,TXN00006613,risk_priority,Risk score 71.05/100,,,2024-10-21,V00112,1250000,71.05,High,large_round_amount; unusual_vendor,"Unusual vendor (Pacific Materials (Guangzhou) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.923, rank 10 of 30,128); Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger",,,
25,TXN00015009,risk_priority,Risk score 70.66/100,,,2024-10-16,V00041,2000000,70.66,High,large_round_amount; unusual_vendor,"Unusual vendor (Ruixin Industrial (Beijing) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 2000000.0 sits in the top 0.5% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.894, rank 16 of 30,128); Amount CNY 2,000,000.00 is above the 99.5th percentile of the ledger",,,
26,TXN00013011,risk_priority,Risk score 70.63/100,,,2024-09-09,V00207,1250000,70.63,High,large_round_amount; unusual_vendor,"Unusual vendor (Nordic Electronics Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.789, rank 94 of 30,128); Vendor risk 47/100 for Nordic Electronics Co., Ltd.; Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger",,,
27,TXN00015397,risk_priority,Risk score 70.58/100,,,2024-04-15,V00141,1250000,70.58,High,large_round_amount; unusual_vendor,"Unusual vendor (Everest Materials Holdings): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.711, rank 301 of 30,128); Vendor risk 60/100 for Everest Materials Holdings; Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger",,,
28,TXN00028111,risk_priority,Risk score 70.58/100,,,2025-01-13,V00206,1250000,70.58,High,large_round_amount; unusual_vendor,"Unusual vendor (Apex Automation (Guangzhou) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.797, rank 85 of 30,128); Vendor risk 45/100 for Apex Automation (Guangzhou) Co., Ltd.; Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger",,,
29,TXN00025642,risk_priority,Risk score 70.51/100,,,2024-06-03,V00144,2000000,70.51,High,large_round_amount; unusual_vendor,"Unusual vendor (Silverline Media Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 2000000.0 sits in the top 0.5% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.938, rank 4 of 30,128); Amount CNY 2,000,000.00 is above the 99.5th percentile of the ledger",,,
30,TXN00006457,risk_priority,Risk score 70.39/100,,,2025-12-05,V00129,1250000,70.39,High,large_round_amount; unusual_vendor,"Unusual vendor (Everest Services (Shenzhen) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.898, rank 14 of 30,128); Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger",,,
31,TXN00007791,risk_priority,Risk score 70.30/100,,,2024-02-05,V00353,1250000,70.3,High,large_round_amount; unusual_vendor,"Unusual vendor (Concord Services (Shanghai) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.767, rank 137 of 30,128); Vendor risk 48/100 for Concord Services (Shanghai) Co., Ltd.; Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger",,,
32,TXN00011457,risk_priority,Risk score 70.28/100,,,2025-09-17,V00097,1250000,70.28,High,large_round_amount; unusual_vendor,"Unusual vendor (Everest Logistics Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.740, rank 203 of 30,128); Vendor risk 53/100 for Everest Logistics Co., Ltd.; Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger",,,
33,TXN00020863,risk_priority,Risk score 70.07/100,,,2024-09-27,V00348,2000000,70.07,High,large_round_amount; unusual_vendor,"Unusual vendor (Global Trading (Shanghai) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 2000000.0 sits in the top 0.5% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.842, rank 40 of 30,128); Amount CNY 2,000,000.00 is above the 99.5th percentile of the ledger",,,
34,TXN00029876,risk_priority,Risk score 70.05/100,,,2025-09-18,V00299,1000000,70.05,High,large_round_amount; unusual_vendor,"Unusual vendor (Mingda Packaging (Shenzhen) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1000000.0 sits in the top 2.5% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.778, rank 116 of 30,128); Vendor risk 58/100 for Mingda Packaging (Shenzhen) Co., Ltd.; Amount CNY 1,000,000.00 is above the 97.5th percentile of the ledger",,,
35,TXN00003048,risk_priority,Risk score 69.96/100,,,2024-12-19,V00149,1250000,69.96,High,large_round_amount; unusual_vendor,"Unusual vendor (Tianhe Technology (Guangzhou) Co., Ltd.): vendor registered less than 90 days before the payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.840, rank 47 of 30,128); Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger",,,
36,TXN00012478,risk_priority,Risk score 69.94/100,,,2025-03-24,V00350,1250000,69.94,High,large_round_amount; unusual_vendor,"Unusual vendor (Ruixin Systems (Guangzhou) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.865, rank 27 of 30,128); Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger",,,
37,TXN00027041,risk_priority,Risk score 69.92/100,,,2024-01-09,V00291,1250000,69.92,High,large_round_amount; unusual_vendor,"Unusual vendor (Dynamic Facilities (Beijing) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.720, rank 266 of 30,128); Vendor risk 54/100 for Dynamic Facilities (Beijing) Co., Ltd.; Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger",,,
38,TXN00009504,risk_priority,Risk score 69.85/100,,,2024-03-15,V00126,2000000,69.85,High,large_round_amount; unusual_vendor,"Unusual vendor (Apex Consulting (Shanghai) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 2000000.0 sits in the top 0.5% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.786, rank 99 of 30,128); Vendor risk 46/100 for Apex Consulting (Shanghai) Co., Ltd.; Amount CNY 2,000,000.00 is above the 99.5th percentile of the ledger",,,
39,TXN00010974,risk_priority,Risk score 69.82/100,,,2024-05-20,V00055,1250000,69.82,High,large_round_amount; unusual_vendor,"Unusual vendor (Xinrun Services (Beijing) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.789, rank 93 of 30,128); Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger",,,
40,TXN00018944,risk_priority,Risk score 69.81/100,,,2024-02-19,V00341,2000000,69.81,High,large_round_amount; unusual_vendor,"Unusual vendor (Hengtai Industrial (Shenzhen) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 2000000.0 sits in the top 0.5% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.916, rank 13 of 30,128); Amount CNY 2,000,000.00 is above the 99.5th percentile of the ledger",,,
41,TXN00019593,risk_priority,Risk score 69.78/100,,,2025-01-07,V00363,1250000,69.78,High,large_round_amount; unusual_vendor,"Unusual vendor (Blue Ridge Systems (Beijing) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.751, rank 175 of 30,128); Vendor risk 47/100 for Blue Ridge Systems (Beijing) Co., Ltd.; Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger",,,
42,TXN00026808,risk_priority,Risk score 69.77/100,,,2024-10-14,V00103,2000000,69.77,High,large_round_amount; unusual_vendor,"Unusual vendor (Kaiyuan Electronics (Beijing) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 2000000.0 sits in the top 0.5% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.888, rank 20 of 30,128); Amount CNY 2,000,000.00 is above the 99.5th percentile of the ledger",,,
43,TXN00002280,risk_priority,Risk score 69.69/100,,,2025-11-10,V00154,1250000,69.69,High,large_round_amount; unusual_vendor,"Unusual vendor (Innovate Materials Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.772, rank 124 of 30,128); Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger",,,
44,TXN00024088,risk_priority,Risk score 69.62/100,,,2024-05-31,V00206,1250000,69.62,High,large_round_amount; unusual_vendor,"Unusual vendor (Apex Automation (Guangzhou) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.758, rank 158 of 30,128); Vendor risk 45/100 for Apex Automation (Guangzhou) Co., Ltd.; Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger",,,
45,TXN00026026,risk_priority,Risk score 69.52/100,,,2025-12-08,V00067,1250000,69.52,High,large_round_amount; unusual_vendor,"Unusual vendor (Kaiyuan Trading (Shanghai) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.860, rank 30 of 30,128); Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger",,,
46,TXN00013617,risk_priority,Risk score 69.51/100,,,2024-03-14,V00173,2000000,69.51,High,large_round_amount; unusual_vendor,"Unusual vendor (Zhongtai Services Holdings): amount is more than 8x this vendor's average payment; Large round amount: CNY 2000000.0 sits in the top 0.5% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.881, rank 21 of 30,128); Amount CNY 2,000,000.00 is above the 99.5th percentile of the ledger",,,
47,TXN00007068,risk_priority,Risk score 69.38/100,,,2024-11-26,V00203,1250000,69.38,High,large_round_amount; unusual_vendor,"Unusual vendor (Bright Consulting Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.722, rank 256 of 30,128); Vendor risk 50/100 for Bright Consulting Co., Ltd.; Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger",,,
48,TXN00004557,risk_priority,Risk score 69.37/100,,,2024-12-09,V00101,2000000,69.37,High,large_round_amount; unusual_vendor,"Unusual vendor (Innovate Facilities (Shenzhen) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 2000000.0 sits in the top 0.5% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.830, rank 55 of 30,128); Amount CNY 2,000,000.00 is above the 99.5th percentile of the ledger",,,
49,TXN00029033,risk_priority,Risk score 69.31/100,,,2025-07-31,V00298,1250000,69.31,High,large_round_amount; unusual_vendor,"Unusual vendor (Longhe Systems (Shanghai) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.801, rank 78 of 30,128); Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger",,,
50,TXN00025990,risk_priority,Risk score 69.24/100,,,2025-12-05,V00226,1250000,69.24,High,large_round_amount; unusual_vendor,"Unusual vendor (Zhongtai Industrial (Beijing) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.734, rank 221 of 30,128); Vendor risk 47/100 for Zhongtai Industrial (Beijing) Co., Ltd.; Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger",,,
51,TXN00024102,risk_priority,Risk score 69.23/100,,,2025-07-26,V00350,160000,69.23,High,duplicate_payment; weekend_posting,"Duplicate payment: invoice INV-2025-71544 paid more than once to Ruixin Systems (Guangzhou) Co., Ltd.; Posted on Saturday - 2025-07-26 is outside the normal working week; Isolation Forest anomaly (score 0.640, rank 590 of 30,128); Amount CNY 160,000.00 is above the 77.1th percentile of the ledger",,,
52,TXN00004619,risk_priority,Risk score 69.20/100,,,2024-09-11,V00348,2000000,69.2,High,large_round_amount; unusual_vendor,"Unusual vendor (Global Trading (Shanghai) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 2000000.0 sits in the top 0.5% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.807, rank 71 of 30,128); Amount CNY 2,000,000.00 is above the 99.5th percentile of the ledger",,,
53,TXN00025119,risk_priority,Risk score 69.14/100,,,2025-09-15,V00099,1250000,69.14,High,large_round_amount; unusual_vendor,"Unusual vendor (Tianhe Services (Guangzhou) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.841, rank 45 of 30,128); Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger",,,
54,TXN00014547,risk_priority,Risk score 69.12/100,,,2024-11-11,V00354,1250000,69.12,High,large_round_amount; unusual_vendor,"Unusual vendor (Orient Industrial (Shanghai) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.925, rank 9 of 30,128); Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger",,,
55,TXN00015908,risk_priority,Risk score 69.10/100,,,2025-09-30,V00059,1250000,69.1,High,large_round_amount; unusual_vendor,"Unusual vendor (Bright Automation (Shanghai) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.814, rank 64 of 30,128); Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger",,,
56,TXN00011915,risk_priority,Risk score 69.06/100,,,2025-08-27,V00140,2000000,69.06,High,large_round_amount; unusual_vendor,"Unusual vendor (Sunrise Automation (Shanghai) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 2000000.0 sits in the top 0.5% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.929, rank 7 of 30,128); Amount CNY 2,000,000.00 is above the 99.5th percentile of the ledger",,,
57,TXN00013256,risk_priority,Risk score 69.04/100,,,2025-09-29,V00055,1250000,69.04,High,large_round_amount; unusual_vendor,"Unusual vendor (Xinrun Services (Beijing) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.758, rank 159 of 30,128); Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger",,,
